market,model,Pinball,MAE,PICP_alpha_0.2,Kupiec_passed_alpha_0.2,Winkler_alpha_0.2,PICP_alpha_0.4,Kupiec_passed_alpha_0.4,Winkler_alpha_0.4,PICP_alpha_0.6,Kupiec_passed_alpha_0.6,Winkler_alpha_0.6,PICP_alpha_0.8,Kupiec_passed_alpha_0.8,Winkler_alpha_0.8
MGP_NORD,CQS,1.810,4.580,79.00,24,21.84,59.00,24,16.60,39.00,24,13.48,19.00,24,11.13
MGP_NORD,CQR,1.804,4.547,77.00,19,21.89,57.00,21,16.54,38.00,22,13.45,19.00,24,11.08
MGP_NORD,OCQN,1.850,4.700,81.00,23,22.21,61.00,24,16.94,41.00,24,13.78,21.00,22,11.39
MGP_NORD,OCQJ,1.822,4.601,80.00,24,22.07,60.00,24,16.73,40.00,24,13.57,21.00,24,11.19
MGP_NORD,OCQS,1.804,4.565,80.00,24,21.80,60.00,24,16.52,40.00,24,13.44,21.00,24,11.10
MGP_NORD,OCQR,1.803,4.543,80.00,24,21.79,60.00,24,16.53,40.00,24,13.46,21.00,24,11.08
MGP_SARD,CP,2.258,5.653,78.00,23,28.14,58.00,23,20.84,38.00,24,16.73,19.00,23,13.75
MGP_SARD,QRA,2.261,5.624,76.00,9,28.53,55.00,10,20.93,35.00,12,16.73,17.00,16,13.70
MGP_SARD,Norm,2.282,5.745,83.00,17,27.92,64.00,13,21.01,45.00,14,16.95,23.00,16,13.96
MGP_SARD,Jsu,2.262,5.632,76.00,12,28.46,56.00,16,20.97,37.00,18,16.73,18.00,21,13.71
MGP_SARD,Stu,2.234,5.584,77.00,15,28.09,56.00,16,20.59,36.00,14,16.52,18.00,17,13.57
MGP_SARD,QR,2.275,5.672,71.00,3,28.58,51.00,6,21.00,33.00,8,16.85,17.00,16,13.81
MGP_SARD,CQN,2.266,5.741,80.00,22,27.56,61.00,21,20.82,41.00,21,16.84,20.00,23,13.88
MGP_SARD,CQJ,2.252,5.627,77.00,15,28.26,56.00,19,20.86,37.00,21,16.66,19.00,24,13.63
MGP_SARD,CQS,2.218,5.580,78.00,20,27.61,56.00,20,20.42,37.00,19,16.41,18.00,23,13.51
MGP_SARD,CQR,2.255,5.654,75.00,5,27.89,55.00,9,20.79,36.00,14,16.74,19.00,24,13.74
MGP_SARD,OCQN,2.267,5.727,80.00,24,27.55,60.00,24,20.83,40.00,24,16.86,20.00,24,13.90
MGP_SARD,OCQJ,2.254,5.617,78.00,23,28.21,58.00,24,20.88,39.00,24,16.70,20.00,24,13.67
MGP_SARD,OCQS,2.221,5.575,78.00,23,27.54,58.00,24,20.45,39.00,24,16.45,20.00,24,13.55
MGP_SARD,OCQR,2.251,5.647,78.00,21,27.66,58.00,24,20.71,38.00,24,16.75,20.00,24,13.76
MGP_SICI,CP,4.433,10.911,79.00,24,56.78,59.00,24,41.45,40.00,24,32.75,20.00,23,26.62
MGP_SICI,QRA,4.440,10.863,79.00,5,57.86,58.00,6,41.58,39.00,10,32.70,20.00,12,26.54
MGP_SICI,Norm,4.646,11.406,70.00,2,60.44,54.00,10,43.35,37.00,19,34.22,19.00,22,27.83
MGP_SICI,Jsu,4.396,10.979,72.00,1,54.65,52.00,5,40.66,35.00,13,32.61,18.00,21,26.72
MGP_SICI,Stu,4.428,10.987,71.00,3,56.10,52.00,4,41.13,34.00,10,32.74,17.00,17,26.75
MGP_SICI,QR,4.341,10.863,75.00,10,53.78,56.00,15,40.09,37.00,20,32.23,19.00,22,26.43
MGP_SICI,CQN,4.581,11.398,75.00,9,58.37,58.00,20,42.85,39.00,23,33.83,20.00,24,27.43
MGP_SICI,CQJ,4.346,10.958,76.00,14,53.63,56.00,15,40.11,37.00,21,32.28,20.00,24,26.42
MGP_SICI,CQS,4.362,10.960,76.00,13,54.33,56.00,15,40.39,37.00,23,32.30,19.00,24,26.43
MGP_SICI,CQR,4.295,10.842,77.00,17,52.71,57.00,21,39.55,39.00,24,31.91,20.00,23,26.20
MGP_SICI,OCQN,4.584,11.357,79.00,23,58.14,62.00,23,43.02,43.00,22,33.91,23.00,20,27.47
MGP_SICI,OCQJ,4.348,10.896,78.00,22,53.55,59.00,23,40.25,40.00,24,32.33,22.00,23,26.44
MGP_SICI,OCQS,4.360,10.894,77.00,21,54.23,59.00,24,40.39,40.00,24,32.36,22.00,19,26.47
MGP_SICI,OCQR,4.302,10.811,78.00,21,52.74,60.00,24,39.66,40.00,24,32.01,22.00,24,26.27
MGP_SUD,CP,2.176,5.414,78.00,22,27.48,57.00,21,20.18,38.00,23,16.09,19.00,24,13.17
MGP_SUD,QRA,2.170,5.407,79.00,10,27.21,58.00,9,20.12,37.00,11,16.07,18.00,16,13.16
MGP_SUD,Norm,2.209,5.528,81.00,11,27.37,64.00,13,20.45,44.00,16,16.39,22.00,17,13.44
MGP_SUD,Jsu,2.164,5.440,75.00,7,26.62,56.00,8,19.93,36.00,9,16.07,18.00,19,13.22
MGP_SUD,Stu,2.178,5.447,74.00,6,27.18,54.00,7,20.12,34.00,8,16.13,17.00,15,13.24
MGP_SUD,QR,2.130,5.384,74.00,5,26.00,55.00,8,19.60,36.00,7,15.80,18.00,18,13.05
MGP_SUD,CQN,2.184,5.525,80.00,18,26.86,60.00,19,20.09,40.00,21,16.19,20.00,22,13.33
MGP_SUD,CQJ,2.138,5.426,76.00,13,26.18,56.00,16,19.66,36.00,15,15.85,18.00,22,13.06
MGP_SUD,CQS,2.152,5.444,76.00,12,26.60,56.00,14,19.79,35.00,13,15.93,18.00,22,13.12
MGP_SUD,CQR,2.110,5.373,76.00,12,25.45,57.00,18,19.35,36.00,17,15.68,18.00,23,12.98
MGP_SUD,OCQN,2.185,5.511,79.00,23,26.76,59.00,24,20.09,39.00,24,16.24,21.00,24,13.37
MGP_SUD,OCQJ,2.136,5.409,78.00,20,26.07,57.00,23,19.60,38.00,24,15.87,21.00,24,13.07
MGP_SUD,OCQS,2.150,5.431,77.00,15,26.45,58.00,23,19.76,38.00,24,15.94,20.00,24,13.14
MGP_SUD,OCQR,2.109,5.368,78.00,19,25.26,58.00,24,19.32,38.00,24,15.69,20.00,23,12.99
