hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.6349,0.7548,0.5913,0.5695,0.5967,0.6349,0.5967,0.5913,0.6076,0.6131,0.6431,0.5967,0.6104,0.6213
1,0.594,0.7003,0.5967,0.5368,0.5531,0.5886,0.6158,0.5804,0.564,0.6076,0.6431,0.5995,0.5749,0.6104
2,0.6158,0.7057,0.5204,0.5123,0.5095,0.5995,0.5586,0.5586,0.5531,0.5967,0.5995,0.5886,0.5831,0.5858
3,0.6104,0.6703,0.5286,0.4959,0.4905,0.5858,0.564,0.5368,0.5422,0.5749,0.5967,0.5886,0.5695,0.5804
4,0.5831,0.6649,0.5123,0.4986,0.5123,0.5722,0.5422,0.5259,0.5395,0.5722,0.594,0.5722,0.5777,0.5804
5,0.5886,0.6921,0.5559,0.5041,0.515,0.594,0.5967,0.5559,0.5722,0.5804,0.6131,0.594,0.6022,0.5804
6,0.5886,0.6948,0.4796,0.4632,0.5068,0.5804,0.545,0.5368,0.5422,0.5668,0.5967,0.5777,0.5722,0.5777
7,0.5995,0.5913,0.5777,0.5559,0.5804,0.5777,0.5913,0.5722,0.5586,0.5695,0.6185,0.6022,0.5913,0.5858
8,0.5613,0.4905,0.4932,0.4959,0.5123,0.5095,0.5395,0.5477,0.5504,0.5477,0.5858,0.5613,0.5586,0.5722
9,0.5777,0.4741,0.4659,0.5395,0.5068,0.5204,0.5395,0.5477,0.5504,0.5477,0.5886,0.5232,0.564,0.5722
10,0.5913,0.5204,0.5341,0.5313,0.5531,0.5559,0.5722,0.5586,0.5695,0.5749,0.6431,0.5777,0.5777,0.5913
11,0.5777,0.485,0.5477,0.5395,0.5286,0.5313,0.5777,0.5613,0.545,0.5668,0.6458,0.5749,0.5831,0.6049
12,0.5613,0.5041,0.5531,0.5068,0.5041,0.5095,0.5967,0.5395,0.5368,0.5232,0.6158,0.5858,0.5831,0.5777
13,0.594,0.5123,0.5504,0.5232,0.5068,0.5368,0.5858,0.5368,0.545,0.5804,0.6076,0.5749,0.5995,0.6104
14,0.6049,0.5177,0.5749,0.4959,0.5123,0.5504,0.5858,0.5559,0.5477,0.5804,0.6349,0.594,0.6049,0.6158
15,0.5831,0.5313,0.5559,0.5422,0.5313,0.5695,0.5913,0.5477,0.5422,0.5831,0.6131,0.5913,0.6022,0.5995
16,0.6158,0.5177,0.5177,0.5504,0.5313,0.5586,0.5804,0.5668,0.5886,0.5722,0.6512,0.6213,0.5913,0.6131
17,0.6022,0.5286,0.5259,0.5668,0.5341,0.5559,0.5749,0.5777,0.564,0.5886,0.6403,0.5749,0.5804,0.5995
18,0.5995,0.5313,0.5014,0.5313,0.5232,0.5341,0.5668,0.5695,0.5722,0.5668,0.6267,0.6022,0.6267,0.6158
19,0.594,0.5777,0.5232,0.4877,0.455,0.5041,0.5886,0.5531,0.5204,0.564,0.6185,0.5858,0.594,0.6049
20,0.594,0.6022,0.5695,0.5123,0.4659,0.5123,0.6131,0.5695,0.5559,0.5586,0.6294,0.6049,0.6022,0.5913
21,0.5804,0.5504,0.5559,0.5204,0.5204,0.5286,0.5913,0.5695,0.6104,0.5668,0.6322,0.6213,0.6131,0.6131
22,0.5858,0.5886,0.4986,0.5504,0.5368,0.5613,0.564,0.5777,0.5777,0.5831,0.624,0.5913,0.6104,0.5858
23,0.5613,0.5831,0.5341,0.5422,0.5395,0.5858,0.564,0.5477,0.5668,0.5831,0.624,0.5913,0.5995,0.6049
