hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.376,0.3951,0.4278,0.3025,0.3379,0.3297,0.3951,0.3297,0.3542,0.3379,0.3842,0.3624,0.3706,0.3733
1,0.376,0.3706,0.4441,0.3542,0.3706,0.3406,0.4033,0.3597,0.3678,0.3515,0.3869,0.3624,0.3733,0.3733
2,0.3869,0.3869,0.4332,0.3787,0.376,0.3351,0.4169,0.3815,0.3869,0.3597,0.3896,0.3842,0.3896,0.3951
3,0.4169,0.3896,0.4523,0.3542,0.3787,0.3569,0.4196,0.3624,0.4087,0.3978,0.406,0.3869,0.4114,0.3951
4,0.436,0.3842,0.4251,0.3624,0.3406,0.346,0.4142,0.3869,0.3924,0.3678,0.4169,0.3896,0.4033,0.3896
5,0.4414,0.4251,0.4687,0.3678,0.406,0.3515,0.436,0.376,0.4087,0.3815,0.4278,0.3951,0.406,0.4087
6,0.4223,0.3678,0.4278,0.3569,0.3542,0.3297,0.4005,0.3706,0.376,0.3569,0.4033,0.3951,0.3978,0.3951
7,0.4087,0.376,0.4169,0.3733,0.3706,0.3542,0.406,0.3624,0.3896,0.3978,0.3896,0.3951,0.3978,0.3896
8,0.4251,0.2888,0.4441,0.3869,0.3433,0.3706,0.4142,0.376,0.3815,0.3924,0.4033,0.3924,0.3951,0.3869
9,0.4251,0.3161,0.4659,0.4251,0.3869,0.406,0.4305,0.4169,0.3978,0.406,0.3978,0.3869,0.3924,0.4005
10,0.4087,0.3161,0.4578,0.3842,0.376,0.3542,0.4005,0.3787,0.3815,0.3597,0.406,0.4005,0.3951,0.3951
11,0.4033,0.3243,0.4305,0.3515,0.3597,0.3597,0.4087,0.3624,0.3787,0.3651,0.4142,0.3924,0.3951,0.4005
12,0.4251,0.3324,0.4659,0.376,0.4033,0.3896,0.4414,0.406,0.4142,0.4114,0.4387,0.4251,0.4278,0.4278
13,0.4251,0.3297,0.4469,0.3842,0.3978,0.3651,0.4305,0.3896,0.4005,0.3924,0.4332,0.4223,0.4142,0.4087
14,0.406,0.2997,0.455,0.3624,0.3978,0.3542,0.4223,0.3733,0.3706,0.3651,0.4223,0.4087,0.4169,0.406
15,0.406,0.3243,0.4741,0.3951,0.3787,0.3569,0.4523,0.3815,0.3842,0.3733,0.3978,0.376,0.3869,0.3951
16,0.4142,0.2861,0.4578,0.376,0.3842,0.3733,0.4087,0.3706,0.3787,0.3869,0.406,0.3924,0.3951,0.3978
17,0.4087,0.3324,0.5014,0.4196,0.4251,0.3597,0.436,0.4169,0.4169,0.3706,0.4142,0.3978,0.406,0.3951
18,0.3924,0.2916,0.4768,0.4087,0.376,0.3815,0.4223,0.3787,0.3815,0.3787,0.3815,0.3706,0.3815,0.3651
19,0.4114,0.3324,0.5095,0.4332,0.4305,0.3924,0.4496,0.3978,0.3869,0.3978,0.4251,0.3951,0.3978,0.4087
20,0.3624,0.3052,0.5422,0.4005,0.3651,0.3896,0.4714,0.3924,0.3733,0.3951,0.4142,0.3951,0.3978,0.4005
21,0.4005,0.4169,0.5831,0.4414,0.376,0.3787,0.4905,0.4087,0.3624,0.376,0.3978,0.3815,0.3869,0.3869
22,0.3869,0.4578,0.4932,0.4087,0.4469,0.3842,0.4087,0.3815,0.406,0.3842,0.3678,0.3624,0.3678,0.3624
23,0.3624,0.4441,0.4687,0.3978,0.4087,0.376,0.3842,0.3624,0.4033,0.3787,0.3706,0.3651,0.3733,0.3733
