hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.8032,0.9061,0.8448,0.7924,0.778,0.7888,0.8303,0.796,0.796,0.7978,0.8195,0.8087,0.8014,0.7942
1,0.7834,0.9025,0.8466,0.7816,0.7762,0.7888,0.8249,0.787,0.7888,0.787,0.8195,0.796,0.8051,0.7978
2,0.8032,0.8863,0.8321,0.7708,0.7942,0.7852,0.8195,0.7834,0.7996,0.7834,0.8231,0.7924,0.8032,0.7978
3,0.7942,0.8953,0.8231,0.7708,0.7762,0.7798,0.8105,0.7834,0.787,0.7834,0.8213,0.8069,0.8087,0.8051
4,0.8123,0.9116,0.8249,0.778,0.7816,0.7798,0.8141,0.7942,0.7942,0.7816,0.8213,0.8087,0.8087,0.7924
5,0.7996,0.8899,0.8087,0.7401,0.7563,0.769,0.8032,0.7816,0.7834,0.7816,0.8213,0.8014,0.7942,0.7978
6,0.7996,0.8159,0.796,0.7617,0.7708,0.7834,0.7996,0.7942,0.7906,0.7924,0.8177,0.8213,0.8141,0.8069
7,0.7942,0.6949,0.7653,0.7437,0.7545,0.7509,0.7816,0.7744,0.778,0.7653,0.8032,0.7924,0.8014,0.7762
8,0.7708,0.6462,0.7563,0.6986,0.7094,0.713,0.7653,0.7419,0.7563,0.7527,0.7906,0.7798,0.8032,0.7906
9,0.7906,0.7112,0.7545,0.6877,0.7094,0.713,0.7671,0.7473,0.7527,0.7527,0.8051,0.796,0.8105,0.7996
10,0.7888,0.7473,0.7635,0.7437,0.7455,0.7365,0.7924,0.778,0.7762,0.778,0.8051,0.7978,0.7942,0.7942
11,0.7816,0.7545,0.7671,0.7329,0.7509,0.7347,0.7726,0.7509,0.7708,0.7726,0.8014,0.7816,0.7906,0.7798
12,0.7942,0.7708,0.7545,0.713,0.7256,0.722,0.7834,0.7491,0.7617,0.7635,0.7942,0.7726,0.787,0.787
13,0.7906,0.7708,0.7545,0.713,0.7292,0.7473,0.778,0.7617,0.7671,0.7726,0.8087,0.8069,0.7996,0.7978
14,0.7978,0.7671,0.7455,0.7292,0.7166,0.7455,0.7852,0.7635,0.7545,0.769,0.7978,0.8051,0.8051,0.8032
15,0.7906,0.7726,0.7365,0.7076,0.7166,0.7274,0.778,0.7527,0.7599,0.7762,0.796,0.8087,0.8069,0.8105
16,0.7726,0.7437,0.7491,0.713,0.7238,0.7238,0.7599,0.7635,0.7527,0.7653,0.778,0.7906,0.796,0.7744
17,0.7816,0.7292,0.7816,0.7455,0.7527,0.7599,0.7924,0.7762,0.7816,0.7708,0.8087,0.7906,0.7978,0.8087
18,0.7942,0.7166,0.7635,0.722,0.7527,0.7401,0.7744,0.769,0.7816,0.778,0.8195,0.8105,0.8069,0.8014
19,0.8032,0.6173,0.7473,0.6968,0.7076,0.7274,0.7708,0.7437,0.7671,0.7762,0.8051,0.8032,0.8014,0.796
20,0.8087,0.6787,0.7437,0.722,0.7112,0.7419,0.7852,0.769,0.7798,0.8032,0.8213,0.8123,0.8159,0.8195
21,0.8159,0.7798,0.7762,0.7455,0.7383,0.7744,0.787,0.7635,0.7762,0.7906,0.8105,0.8051,0.8123,0.8105
22,0.796,0.8448,0.8032,0.7437,0.7527,0.7545,0.7978,0.7671,0.778,0.7816,0.8069,0.7978,0.8087,0.7996
23,0.787,0.8484,0.8267,0.7329,0.7509,0.7744,0.7888,0.7581,0.7726,0.778,0.7924,0.7942,0.7978,0.7996
