hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.3896,0.4087,0.4496,0.376,0.376,0.3297,0.4305,0.3787,0.3842,0.3706,0.4114,0.3842,0.3896,0.3896
1,0.3597,0.3597,0.3896,0.3243,0.2888,0.2779,0.3815,0.3624,0.3379,0.3379,0.3978,0.3951,0.3706,0.3678
2,0.3624,0.3624,0.3787,0.3297,0.3188,0.2916,0.3597,0.346,0.346,0.3351,0.3787,0.376,0.376,0.3733
3,0.376,0.3651,0.3842,0.3215,0.3079,0.2888,0.3815,0.3488,0.3569,0.3379,0.3651,0.3924,0.3815,0.3733
4,0.376,0.3624,0.3869,0.3188,0.3188,0.3134,0.3706,0.3597,0.3515,0.3324,0.376,0.3869,0.376,0.3815
5,0.3842,0.3869,0.406,0.3515,0.346,0.3324,0.3787,0.3624,0.3651,0.3488,0.3678,0.3951,0.3815,0.3787
6,0.3978,0.3869,0.4523,0.3406,0.346,0.3161,0.4196,0.376,0.3706,0.3488,0.406,0.3978,0.4087,0.4005
7,0.4005,0.3597,0.4414,0.376,0.3896,0.3624,0.4142,0.3733,0.3896,0.3624,0.3896,0.376,0.3842,0.3896
8,0.3706,0.2943,0.436,0.3542,0.3351,0.3079,0.4005,0.3406,0.3488,0.3324,0.3842,0.3597,0.3624,0.3515
9,0.3815,0.3678,0.4796,0.3733,0.3787,0.3706,0.4114,0.3733,0.376,0.3706,0.3869,0.376,0.3787,0.376
10,0.3815,0.3569,0.4659,0.4142,0.3815,0.3706,0.4169,0.4005,0.3706,0.3787,0.3924,0.3896,0.3815,0.3597
11,0.3787,0.3433,0.4387,0.3597,0.3515,0.3243,0.3842,0.3542,0.3488,0.3542,0.376,0.3733,0.3733,0.3787
12,0.3869,0.3297,0.4169,0.3733,0.3433,0.297,0.3924,0.3624,0.3651,0.3624,0.3869,0.3924,0.3978,0.3842
13,0.4033,0.2943,0.4278,0.3842,0.376,0.2997,0.4142,0.3842,0.3678,0.3406,0.4223,0.3924,0.3869,0.3815
14,0.4005,0.2561,0.4659,0.3842,0.3488,0.327,0.4114,0.3678,0.376,0.3597,0.4223,0.4033,0.3842,0.3815
15,0.3869,0.2752,0.3978,0.3406,0.3243,0.3134,0.3869,0.3542,0.3324,0.3488,0.4033,0.376,0.4033,0.3787
16,0.3787,0.3297,0.4223,0.3815,0.3597,0.3351,0.3869,0.3706,0.376,0.3678,0.4142,0.3869,0.4033,0.4033
17,0.3815,0.3079,0.4659,0.3651,0.3978,0.3542,0.3815,0.3569,0.3896,0.3787,0.4033,0.3951,0.3842,0.3869
18,0.3678,0.2997,0.5177,0.3733,0.4087,0.346,0.4523,0.3869,0.376,0.3515,0.3951,0.376,0.3706,0.3787
19,0.3951,0.3433,0.4877,0.4223,0.4142,0.376,0.4251,0.4142,0.4142,0.3924,0.4087,0.4033,0.4087,0.4169
20,0.3842,0.3488,0.5232,0.3951,0.3815,0.3733,0.4659,0.3978,0.3815,0.4087,0.406,0.4033,0.4114,0.4142
21,0.3733,0.4469,0.5668,0.3924,0.3787,0.3842,0.4741,0.3787,0.3896,0.3978,0.4223,0.3978,0.4005,0.4087
22,0.3651,0.4714,0.4578,0.3569,0.376,0.3951,0.4278,0.3733,0.3733,0.3787,0.3787,0.3706,0.3815,0.3951
23,0.3733,0.4223,0.4251,0.3569,0.3706,0.3406,0.3869,0.3651,0.3651,0.346,0.4033,0.3651,0.3869,0.3787
