hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.8038,0.8774,0.8229,0.7411,0.7275,0.752,0.8093,0.7657,0.7602,0.7684,0.8038,0.7711,0.7548,0.7684
1,0.7902,0.8392,0.7657,0.7139,0.7221,0.7193,0.7738,0.7357,0.7248,0.7466,0.7711,0.752,0.7575,0.7548
2,0.7875,0.8283,0.7575,0.7248,0.703,0.703,0.7738,0.7439,0.7384,0.7221,0.7902,0.7793,0.7629,0.7629
3,0.782,0.8256,0.7629,0.6975,0.7003,0.7139,0.7711,0.7302,0.733,0.7439,0.7766,0.7657,0.7548,0.7684
4,0.7793,0.8311,0.7466,0.7057,0.703,0.7057,0.752,0.7439,0.7357,0.7221,0.7766,0.782,0.7684,0.7738
5,0.7738,0.8529,0.7602,0.7139,0.6866,0.7057,0.7575,0.7384,0.7302,0.7466,0.7711,0.7602,0.752,0.752
6,0.782,0.8365,0.7548,0.7275,0.7112,0.6975,0.7629,0.7575,0.7548,0.7357,0.7766,0.7548,0.7548,0.7575
7,0.8038,0.7629,0.8392,0.7793,0.7738,0.7466,0.7956,0.7793,0.7793,0.752,0.7875,0.7711,0.7711,0.7684
8,0.7929,0.6839,0.8147,0.7875,0.7493,0.7575,0.7902,0.7657,0.7548,0.7657,0.7793,0.7738,0.7548,0.7766
9,0.7575,0.7548,0.812,0.7466,0.7439,0.7302,0.7929,0.7657,0.7629,0.752,0.7875,0.7766,0.7711,0.7684
10,0.782,0.752,0.7629,0.7275,0.7302,0.7084,0.782,0.7548,0.7629,0.7657,0.782,0.7602,0.7766,0.7711
11,0.7602,0.7112,0.7439,0.7057,0.7139,0.673,0.782,0.7384,0.7684,0.7411,0.7875,0.7902,0.7902,0.7738
12,0.7738,0.7275,0.7548,0.733,0.7221,0.7057,0.7738,0.7738,0.7493,0.7602,0.7902,0.8093,0.7984,0.7875
13,0.7847,0.7384,0.7548,0.7221,0.7411,0.7057,0.7657,0.7684,0.7929,0.7629,0.8038,0.7956,0.8147,0.8038
14,0.7793,0.733,0.752,0.7357,0.733,0.6948,0.7793,0.7575,0.7684,0.752,0.8011,0.8011,0.8065,0.7929
15,0.782,0.7711,0.7602,0.7302,0.7166,0.7193,0.7984,0.7575,0.7575,0.7738,0.812,0.7847,0.7984,0.7929
16,0.7684,0.782,0.8147,0.7657,0.733,0.7384,0.7929,0.782,0.7575,0.7738,0.7875,0.7902,0.7793,0.7738
17,0.7657,0.7602,0.8556,0.7657,0.7493,0.7411,0.7956,0.7657,0.7439,0.7466,0.7793,0.7439,0.7548,0.7466
18,0.7657,0.752,0.9155,0.8065,0.7902,0.8147,0.8365,0.7847,0.7793,0.7847,0.8011,0.7602,0.7711,0.782
19,0.7956,0.7139,0.9292,0.8392,0.8147,0.8338,0.8529,0.8202,0.8093,0.8229,0.8338,0.8229,0.8174,0.8283
20,0.7984,0.7466,0.9455,0.8638,0.8311,0.8392,0.8747,0.8202,0.8038,0.8038,0.8256,0.8202,0.8065,0.7956
21,0.7956,0.8065,0.8965,0.8529,0.7929,0.8392,0.8447,0.8147,0.7902,0.812,0.8147,0.7902,0.7847,0.8093
22,0.782,0.8965,0.8692,0.7875,0.7793,0.8338,0.8447,0.7602,0.7657,0.7984,0.8065,0.7657,0.7548,0.7793
23,0.7493,0.921,0.8283,0.7357,0.7221,0.7548,0.7875,0.733,0.7411,0.7493,0.7575,0.7248,0.7248,0.7384
