hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.6158,0.6703,0.6567,0.5722,0.5722,0.5177,0.6349,0.594,0.5858,0.5668,0.6131,0.5886,0.5886,0.5858
1,0.6349,0.6294,0.6458,0.5831,0.5668,0.5204,0.6131,0.594,0.5967,0.5858,0.6049,0.5995,0.6131,0.5995
2,0.6512,0.6104,0.6322,0.5749,0.5559,0.5068,0.6213,0.6022,0.5804,0.5858,0.6213,0.6185,0.6131,0.6022
3,0.6458,0.5804,0.5886,0.5559,0.5368,0.485,0.6104,0.5858,0.5913,0.5504,0.6158,0.6022,0.6131,0.6076
4,0.6512,0.5804,0.6022,0.5586,0.5504,0.5204,0.6158,0.5913,0.6049,0.5831,0.624,0.624,0.6267,0.6104
5,0.6376,0.6104,0.6104,0.5695,0.5613,0.515,0.6267,0.6131,0.594,0.5913,0.6185,0.6104,0.6131,0.6104
6,0.5967,0.5777,0.6022,0.5313,0.5341,0.4632,0.594,0.5695,0.564,0.5286,0.6158,0.5967,0.5995,0.5995
7,0.6104,0.5695,0.6431,0.5613,0.5722,0.5341,0.6104,0.5913,0.5804,0.5613,0.5995,0.5886,0.5913,0.594
8,0.6294,0.5068,0.6621,0.5858,0.6104,0.5749,0.6213,0.594,0.6076,0.5886,0.6158,0.594,0.6022,0.6049
9,0.6349,0.5477,0.673,0.5886,0.5858,0.5422,0.6458,0.5913,0.594,0.5858,0.6322,0.6076,0.6022,0.5967
10,0.6213,0.5559,0.6866,0.5804,0.5531,0.5041,0.6322,0.5913,0.5749,0.5586,0.6076,0.6076,0.5967,0.5967
11,0.6349,0.5014,0.6649,0.5313,0.5395,0.5041,0.624,0.5777,0.5695,0.5504,0.6076,0.6104,0.6022,0.5995
12,0.5967,0.5422,0.6594,0.5286,0.5504,0.5204,0.6322,0.5531,0.5777,0.5668,0.624,0.6213,0.6131,0.5967
13,0.6403,0.5286,0.6185,0.5477,0.5531,0.5177,0.6104,0.5722,0.5777,0.5695,0.6185,0.6158,0.5995,0.6049
14,0.6213,0.4877,0.6403,0.5259,0.5177,0.5095,0.6076,0.5613,0.5804,0.5531,0.6185,0.6104,0.6049,0.6076
15,0.6185,0.4741,0.6621,0.5504,0.564,0.5259,0.6213,0.5749,0.5749,0.5695,0.6131,0.5858,0.5995,0.594
16,0.6076,0.5313,0.6812,0.5722,0.5777,0.5477,0.6294,0.594,0.5913,0.5886,0.6131,0.594,0.5995,0.6049
17,0.6104,0.5559,0.6594,0.5886,0.6049,0.5341,0.6267,0.6131,0.6049,0.5804,0.6104,0.5913,0.5967,0.5967
18,0.6049,0.5613,0.7248,0.5913,0.6131,0.5722,0.6512,0.5967,0.5995,0.5858,0.6158,0.5831,0.5886,0.5886
19,0.6213,0.5504,0.6839,0.594,0.6131,0.5504,0.6322,0.5858,0.5804,0.5477,0.6049,0.5967,0.6131,0.5967
20,0.594,0.564,0.6839,0.5777,0.5477,0.5204,0.624,0.5613,0.5586,0.5477,0.6022,0.5995,0.5831,0.5858
21,0.5886,0.6594,0.7248,0.5967,0.5831,0.5586,0.6458,0.5749,0.5722,0.5695,0.594,0.5722,0.5613,0.5749
22,0.6322,0.7166,0.7112,0.6213,0.6131,0.5722,0.654,0.6022,0.6076,0.5749,0.5858,0.5804,0.5749,0.5668
23,0.6158,0.6839,0.7003,0.6185,0.6267,0.5858,0.6458,0.5967,0.6076,0.5858,0.6022,0.5858,0.5749,0.5777
