hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.4223,0.5286,0.4223,0.3733,0.3733,0.436,0.436,0.3978,0.3951,0.4387,0.4387,0.4033,0.3896,0.4114
1,0.4223,0.4877,0.3978,0.3597,0.3815,0.3733,0.3951,0.3733,0.3733,0.4033,0.4251,0.4223,0.4114,0.3896
2,0.406,0.4877,0.3706,0.3433,0.3406,0.3842,0.3597,0.3733,0.3624,0.3896,0.4142,0.4033,0.3978,0.4005
3,0.4033,0.4741,0.3433,0.3406,0.3215,0.3787,0.3651,0.3515,0.3651,0.3842,0.3869,0.3869,0.3706,0.376
4,0.3951,0.4796,0.3542,0.3406,0.3243,0.3651,0.3651,0.3624,0.3624,0.3815,0.4087,0.3733,0.3815,0.376
5,0.4033,0.4986,0.376,0.3243,0.3406,0.3842,0.3951,0.3569,0.3433,0.3869,0.4251,0.3787,0.3924,0.3978
6,0.406,0.4578,0.3297,0.3052,0.2725,0.3597,0.3515,0.3488,0.3542,0.3787,0.4142,0.4196,0.4033,0.4033
7,0.3924,0.3515,0.376,0.3733,0.3706,0.3896,0.3924,0.3869,0.3787,0.3815,0.4223,0.4005,0.4033,0.3951
8,0.3978,0.2861,0.3025,0.3569,0.327,0.3324,0.3488,0.3733,0.376,0.3678,0.4114,0.3842,0.3896,0.3951
9,0.3951,0.2997,0.327,0.3406,0.3297,0.3106,0.3569,0.3433,0.3651,0.3597,0.406,0.3706,0.3787,0.3815
10,0.3815,0.3351,0.3951,0.3842,0.3706,0.3951,0.4114,0.3733,0.3787,0.3951,0.4469,0.3869,0.3978,0.4251
11,0.3869,0.3188,0.3815,0.3188,0.327,0.3733,0.3978,0.3488,0.3515,0.3787,0.4469,0.3733,0.4005,0.4142
12,0.4087,0.3188,0.3815,0.3569,0.3188,0.3542,0.4033,0.3651,0.3706,0.3651,0.4387,0.4087,0.4196,0.3978
13,0.4114,0.3243,0.4005,0.3515,0.3079,0.3515,0.3869,0.3597,0.3678,0.3706,0.436,0.3978,0.4223,0.3869
14,0.4169,0.3651,0.3924,0.3433,0.327,0.3678,0.4087,0.3678,0.376,0.3924,0.4441,0.406,0.4169,0.4087
15,0.3869,0.3515,0.4196,0.3542,0.3569,0.3787,0.4114,0.3651,0.3624,0.3896,0.4196,0.3815,0.3869,0.3869
16,0.3978,0.3515,0.3733,0.3896,0.3597,0.3488,0.4005,0.3924,0.376,0.3869,0.4659,0.406,0.4196,0.3978
17,0.3842,0.3515,0.3678,0.3978,0.3624,0.3706,0.4005,0.3706,0.3706,0.4005,0.4496,0.3869,0.3978,0.4169
18,0.406,0.3188,0.3678,0.3215,0.3379,0.3706,0.3787,0.3815,0.3706,0.3924,0.4796,0.4169,0.4332,0.4278
19,0.4305,0.3978,0.3678,0.3052,0.2752,0.3379,0.406,0.3706,0.3651,0.3842,0.4305,0.4087,0.4223,0.4251
20,0.4441,0.4441,0.4223,0.3351,0.3161,0.3542,0.3978,0.3896,0.3924,0.376,0.4469,0.406,0.4196,0.406
21,0.4142,0.3597,0.3869,0.3569,0.3569,0.3651,0.4169,0.3896,0.3951,0.3815,0.4387,0.4223,0.4196,0.4196
22,0.3896,0.3869,0.3406,0.3569,0.3597,0.3569,0.3706,0.3869,0.3978,0.3896,0.4142,0.3978,0.3978,0.406
23,0.3869,0.3924,0.3733,0.4087,0.3869,0.3924,0.3951,0.3869,0.4033,0.3924,0.4087,0.4005,0.4033,0.3896
