hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.1907,0.1907,0.1962,0.1717,0.1553,0.1689,0.1853,0.1853,0.1771,0.1771,0.1907,0.1989,0.1798,0.1935
1,0.1662,0.1907,0.2153,0.1444,0.1471,0.1635,0.2071,0.158,0.1608,0.1689,0.2262,0.2262,0.1935,0.2016
2,0.1853,0.2262,0.218,0.1608,0.1798,0.188,0.1689,0.1744,0.1744,0.1853,0.2098,0.2071,0.1853,0.1935
3,0.2044,0.2125,0.2098,0.1635,0.1662,0.158,0.1608,0.1826,0.1635,0.1935,0.2016,0.188,0.1907,0.2071
4,0.1608,0.2071,0.1771,0.1608,0.158,0.1526,0.1608,0.1826,0.1744,0.1717,0.188,0.2153,0.2125,0.1935
5,0.1962,0.2125,0.1662,0.1499,0.1362,0.1417,0.1744,0.1499,0.1308,0.1689,0.2071,0.1935,0.1798,0.1989
6,0.1962,0.1935,0.2098,0.188,0.1662,0.1853,0.2044,0.1826,0.2016,0.2098,0.2234,0.2343,0.2207,0.2452
7,0.1744,0.1526,0.1989,0.1499,0.1798,0.1689,0.1771,0.1635,0.2016,0.1717,0.1907,0.1853,0.1907,0.1798
8,0.2044,0.1417,0.1962,0.1662,0.1744,0.1662,0.1907,0.1771,0.1717,0.1826,0.1935,0.1853,0.1962,0.1853
9,0.1853,0.1471,0.1935,0.1717,0.158,0.1444,0.1989,0.1962,0.1608,0.1744,0.1935,0.2098,0.2016,0.1962
10,0.1853,0.1635,0.2316,0.1553,0.1362,0.1471,0.2125,0.1771,0.1526,0.158,0.218,0.2234,0.1962,0.1826
11,0.1771,0.1172,0.1689,0.158,0.1335,0.1526,0.1717,0.1689,0.1635,0.1771,0.1989,0.1935,0.2098,0.2016
12,0.2044,0.1608,0.1798,0.1689,0.1526,0.1798,0.1717,0.1717,0.1608,0.1744,0.2262,0.2343,0.2343,0.218
13,0.1853,0.1417,0.1989,0.1744,0.1744,0.1771,0.1853,0.188,0.1662,0.1907,0.2207,0.2234,0.2262,0.2234
14,0.188,0.1526,0.2262,0.1771,0.1635,0.1717,0.2016,0.1853,0.1853,0.1689,0.2153,0.2234,0.2234,0.1989
15,0.1853,0.1362,0.1798,0.1717,0.1526,0.1771,0.1717,0.2098,0.1907,0.1798,0.1989,0.2234,0.2153,0.2044
16,0.1853,0.2016,0.2016,0.2016,0.1717,0.1689,0.1907,0.1717,0.1798,0.1635,0.2071,0.2207,0.2234,0.188
17,0.2016,0.1989,0.248,0.1853,0.218,0.1962,0.2044,0.2071,0.1907,0.2016,0.1962,0.2207,0.2071,0.2125
18,0.1717,0.1635,0.2752,0.1662,0.1962,0.1853,0.2153,0.1608,0.1826,0.1717,0.1798,0.1826,0.1798,0.1826
19,0.1935,0.1826,0.2943,0.2289,0.218,0.2071,0.2371,0.2125,0.2125,0.2098,0.2016,0.1907,0.2071,0.2098
20,0.1907,0.1935,0.297,0.2371,0.188,0.2125,0.2452,0.2044,0.1935,0.2343,0.218,0.2071,0.1962,0.2234
21,0.2016,0.2153,0.3297,0.2207,0.2016,0.2234,0.2589,0.2071,0.2071,0.2044,0.218,0.2016,0.1907,0.2071
22,0.1798,0.2316,0.2752,0.2098,0.1935,0.2153,0.2207,0.1935,0.1798,0.1853,0.1962,0.1907,0.188,0.1907
23,0.1662,0.2452,0.2807,0.2044,0.1798,0.2289,0.2234,0.1689,0.1662,0.1989,0.2071,0.1771,0.1962,0.2016
