hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.8283,0.9019,0.7657,0.7548,0.7711,0.8147,0.7793,0.7738,0.7956,0.8174,0.8283,0.8038,0.782,0.8283
1,0.8038,0.8747,0.7657,0.7357,0.7193,0.8229,0.7766,0.7548,0.7439,0.8038,0.8256,0.7902,0.7657,0.8038
2,0.8038,0.8774,0.7112,0.6975,0.703,0.7875,0.7738,0.7384,0.7738,0.7929,0.8147,0.7793,0.7902,0.8065
3,0.7766,0.8692,0.7166,0.6975,0.6921,0.7929,0.7548,0.7493,0.7439,0.7929,0.8011,0.7793,0.782,0.7793
4,0.7766,0.8638,0.6948,0.673,0.703,0.7847,0.7384,0.7411,0.7466,0.7956,0.7711,0.7793,0.7711,0.7847
5,0.8011,0.8747,0.7275,0.6948,0.7084,0.782,0.7684,0.7357,0.7602,0.7847,0.7956,0.7657,0.7847,0.7875
6,0.7902,0.8828,0.6975,0.7003,0.7057,0.7738,0.7439,0.7575,0.7493,0.7738,0.7793,0.7684,0.7657,0.7711
7,0.8093,0.8256,0.7575,0.7602,0.8065,0.7793,0.7766,0.7629,0.7929,0.7847,0.8093,0.7711,0.7902,0.7929
8,0.782,0.6866,0.6376,0.7221,0.7139,0.7084,0.7439,0.7439,0.7629,0.7357,0.752,0.7439,0.7493,0.7439
9,0.7875,0.7057,0.6594,0.7139,0.6921,0.7221,0.7221,0.7602,0.7384,0.7548,0.7602,0.7302,0.7384,0.7384
10,0.8011,0.7466,0.7166,0.7248,0.7302,0.7275,0.7684,0.7766,0.7548,0.7575,0.8174,0.7657,0.7575,0.7493
11,0.7793,0.7221,0.6975,0.7139,0.6975,0.7221,0.7439,0.7793,0.7548,0.7575,0.8011,0.7875,0.7684,0.7793
12,0.7847,0.7166,0.7003,0.7112,0.7084,0.7357,0.7411,0.7657,0.7629,0.7493,0.7875,0.7738,0.7738,0.7711
13,0.7847,0.7112,0.7139,0.7248,0.6785,0.7248,0.7493,0.7548,0.752,0.7493,0.782,0.7738,0.7629,0.7711
14,0.7902,0.7166,0.7084,0.7275,0.7166,0.7466,0.7548,0.7602,0.7711,0.7629,0.782,0.7766,0.7847,0.782
15,0.7929,0.7384,0.6921,0.7275,0.7302,0.7384,0.733,0.7602,0.7684,0.7711,0.7793,0.7738,0.7793,0.782
16,0.7984,0.7548,0.6676,0.7466,0.7411,0.7711,0.7384,0.7684,0.7684,0.7875,0.7929,0.782,0.7929,0.7875
17,0.7875,0.7275,0.6649,0.733,0.6975,0.733,0.7548,0.7629,0.7384,0.7575,0.7984,0.7684,0.7657,0.7793
18,0.7875,0.733,0.624,0.7057,0.6921,0.733,0.7275,0.7684,0.7602,0.7793,0.7766,0.7766,0.7847,0.7956
19,0.7847,0.7575,0.6975,0.7003,0.6676,0.7166,0.7684,0.7548,0.752,0.7657,0.7847,0.7793,0.7657,0.7738
20,0.782,0.7793,0.7139,0.6894,0.6403,0.7084,0.7548,0.7439,0.7248,0.7602,0.7847,0.7711,0.7793,0.7929
21,0.7875,0.7684,0.6948,0.7139,0.703,0.7112,0.7657,0.7766,0.7738,0.7711,0.7875,0.7956,0.7766,0.7956
22,0.8038,0.8065,0.6649,0.7548,0.7629,0.752,0.7466,0.782,0.7984,0.7793,0.7984,0.7847,0.7902,0.7847
23,0.7902,0.8311,0.6567,0.7248,0.752,0.7793,0.7602,0.7602,0.7738,0.7793,0.7929,0.7902,0.7929,0.8065
