hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.1962,0.1717,0.2125,0.1362,0.1362,0.1553,0.2044,0.1635,0.1553,0.1635,0.2071,0.1798,0.1907,0.1935
1,0.1935,0.1907,0.2207,0.1662,0.188,0.1635,0.1935,0.1744,0.1853,0.1717,0.2016,0.1907,0.188,0.1989
2,0.1962,0.1826,0.2262,0.1771,0.2071,0.1744,0.2071,0.2016,0.1935,0.1853,0.2044,0.2071,0.2044,0.1962
3,0.218,0.2098,0.1907,0.1798,0.1989,0.1826,0.2016,0.1853,0.2071,0.188,0.2234,0.218,0.2125,0.2125
4,0.2234,0.1853,0.1962,0.1608,0.1826,0.139,0.2044,0.188,0.2044,0.188,0.2289,0.2098,0.2207,0.2153
5,0.2234,0.218,0.248,0.1499,0.1989,0.1553,0.2371,0.1907,0.2207,0.1826,0.2343,0.2071,0.218,0.2125
6,0.2016,0.1771,0.2044,0.1553,0.1744,0.1717,0.1935,0.2044,0.1907,0.2098,0.2044,0.2207,0.2289,0.2234
7,0.2153,0.1907,0.2016,0.1608,0.1826,0.1662,0.188,0.2044,0.2044,0.2016,0.2071,0.2316,0.2289,0.2207
8,0.2044,0.1717,0.2071,0.2098,0.158,0.188,0.2044,0.1989,0.1798,0.1962,0.2098,0.2098,0.1962,0.1989
9,0.1907,0.1526,0.2371,0.2262,0.2098,0.2153,0.2207,0.2153,0.1962,0.2125,0.2125,0.2098,0.1935,0.1989
10,0.2098,0.1717,0.2371,0.1717,0.1744,0.1635,0.2125,0.1853,0.1798,0.1853,0.2153,0.1989,0.2044,0.218
11,0.2207,0.1499,0.2098,0.1798,0.1853,0.1417,0.2207,0.1989,0.1853,0.1662,0.2153,0.218,0.2071,0.2098
12,0.2289,0.1744,0.2207,0.1553,0.2044,0.1826,0.2125,0.2125,0.2016,0.218,0.2398,0.2398,0.2207,0.2343
13,0.2262,0.1771,0.2534,0.1962,0.1553,0.2098,0.2289,0.2071,0.1853,0.2044,0.2234,0.2234,0.2098,0.2234
14,0.2098,0.1526,0.2534,0.1935,0.188,0.1662,0.2098,0.1962,0.1907,0.1717,0.2234,0.2207,0.2125,0.2016
15,0.1989,0.1689,0.2888,0.2016,0.2098,0.188,0.2425,0.1907,0.1962,0.1744,0.2071,0.1962,0.1935,0.2016
16,0.1853,0.1499,0.2507,0.1798,0.2016,0.1608,0.2343,0.1744,0.1798,0.1826,0.2016,0.2016,0.2098,0.1989
17,0.1935,0.1471,0.2561,0.2071,0.2071,0.1635,0.2371,0.218,0.1989,0.1935,0.2425,0.2071,0.2071,0.1907
18,0.1907,0.1308,0.2207,0.2343,0.1907,0.1608,0.1907,0.2044,0.1853,0.1853,0.2071,0.1744,0.1853,0.1798
19,0.2016,0.1662,0.2398,0.1989,0.1826,0.1798,0.1907,0.188,0.1907,0.1771,0.2016,0.2044,0.2044,0.188
20,0.1989,0.1499,0.2725,0.1907,0.1771,0.1689,0.2398,0.1771,0.1717,0.1935,0.1989,0.1907,0.1935,0.2016
21,0.2125,0.218,0.3134,0.2616,0.2016,0.2016,0.2452,0.2125,0.2098,0.2262,0.2016,0.1798,0.1853,0.2044
22,0.1962,0.2371,0.2398,0.2425,0.2098,0.218,0.2234,0.2016,0.1771,0.1989,0.1907,0.1853,0.188,0.1853
23,0.1689,0.1853,0.2125,0.2044,0.2016,0.1935,0.2153,0.1771,0.1826,0.1526,0.1989,0.1907,0.2098,0.1907
