hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.5831,0.6076,0.6785,0.5695,0.5586,0.5586,0.6431,0.5531,0.5613,0.5559,0.6022,0.5777,0.5749,0.5722
1,0.5613,0.5368,0.6322,0.4905,0.4877,0.4632,0.5777,0.5368,0.5477,0.515,0.594,0.564,0.5722,0.5722
2,0.5586,0.5286,0.5831,0.4959,0.5014,0.5095,0.5668,0.5068,0.5259,0.5204,0.5777,0.545,0.5477,0.5586
3,0.5804,0.5422,0.6158,0.5313,0.515,0.5041,0.5749,0.545,0.5259,0.5477,0.5777,0.5477,0.5586,0.5613
4,0.5831,0.5504,0.5722,0.5123,0.5068,0.5068,0.564,0.5368,0.5341,0.5368,0.5777,0.5477,0.5586,0.5586
5,0.5613,0.5586,0.6049,0.5068,0.5041,0.4877,0.5695,0.5313,0.5259,0.515,0.5777,0.5504,0.5559,0.5586
6,0.5749,0.5777,0.5668,0.5341,0.5422,0.5177,0.5913,0.5313,0.5586,0.5586,0.5804,0.564,0.5777,0.5913
7,0.5858,0.5668,0.6185,0.5668,0.5804,0.5313,0.5858,0.5613,0.5831,0.5613,0.5722,0.5586,0.5777,0.5695
8,0.5695,0.4441,0.6458,0.5559,0.5995,0.5613,0.5967,0.5477,0.5804,0.5668,0.6076,0.5695,0.5831,0.5858
9,0.5695,0.4905,0.6866,0.5858,0.5831,0.5668,0.624,0.5586,0.5777,0.5613,0.5995,0.5913,0.594,0.5886
10,0.5695,0.5422,0.6676,0.5886,0.5613,0.5613,0.6185,0.5668,0.5722,0.5668,0.594,0.5858,0.594,0.5749
11,0.5722,0.4932,0.6376,0.5722,0.5559,0.5695,0.5967,0.5613,0.5695,0.5559,0.5858,0.564,0.5749,0.5777
12,0.5913,0.5422,0.6512,0.5749,0.564,0.5368,0.6185,0.5722,0.5886,0.5586,0.6158,0.5913,0.594,0.5831
13,0.6022,0.515,0.654,0.5613,0.5695,0.5232,0.5967,0.564,0.5695,0.5668,0.6022,0.5886,0.5831,0.5858
14,0.5967,0.5232,0.6894,0.5777,0.5586,0.5477,0.6185,0.594,0.5749,0.5586,0.624,0.594,0.5967,0.6049
15,0.5804,0.4877,0.6485,0.545,0.5504,0.5259,0.6131,0.545,0.5341,0.5531,0.624,0.5886,0.5858,0.5913
16,0.594,0.5286,0.673,0.6076,0.5831,0.5886,0.6185,0.5722,0.5995,0.5831,0.6267,0.5913,0.5995,0.5967
17,0.5613,0.5395,0.7084,0.6213,0.6267,0.6049,0.6294,0.5722,0.5858,0.5831,0.6158,0.5804,0.5858,0.5886
18,0.5504,0.5613,0.733,0.6376,0.6267,0.6076,0.6594,0.5886,0.6049,0.5886,0.594,0.5722,0.5749,0.594
19,0.6022,0.5341,0.7575,0.6676,0.673,0.6431,0.6757,0.6431,0.6403,0.6104,0.6349,0.6213,0.624,0.6185
20,0.6076,0.5286,0.7684,0.6512,0.624,0.6185,0.6812,0.6076,0.624,0.6158,0.6322,0.6158,0.6213,0.6185
21,0.6022,0.6322,0.7793,0.6567,0.624,0.6104,0.6757,0.6131,0.6213,0.6158,0.6104,0.5995,0.6049,0.6131
22,0.5913,0.7057,0.7221,0.6294,0.6322,0.6104,0.6431,0.5995,0.6049,0.5831,0.5913,0.5668,0.5831,0.5722
23,0.5368,0.6703,0.6894,0.5831,0.5722,0.5559,0.6104,0.564,0.5477,0.545,0.5749,0.5613,0.564,0.564
