hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.4097,0.5144,0.4332,0.3989,0.3863,0.3646,0.4404,0.3953,0.4007,0.3917,0.3935,0.3971,0.3971,0.3863
1,0.4116,0.5271,0.4657,0.3502,0.3303,0.3592,0.426,0.3718,0.3718,0.3953,0.3899,0.3899,0.4025,0.3917
2,0.4025,0.5415,0.4675,0.3736,0.3791,0.37,0.4458,0.3863,0.3809,0.3827,0.3989,0.4043,0.3971,0.4025
3,0.3827,0.509,0.4513,0.3664,0.3736,0.3845,0.4206,0.3899,0.3881,0.3881,0.3971,0.3989,0.4007,0.4007
4,0.3953,0.5126,0.4549,0.3881,0.3989,0.3953,0.4549,0.4079,0.3953,0.3971,0.417,0.4043,0.3953,0.4007
5,0.4242,0.5054,0.4097,0.361,0.3682,0.3736,0.4134,0.3755,0.3935,0.3917,0.4025,0.3899,0.4025,0.3881
6,0.4079,0.37,0.4007,0.3791,0.3718,0.352,0.3917,0.3881,0.3863,0.3736,0.4079,0.4116,0.417,0.3971
7,0.4134,0.2888,0.3917,0.352,0.3321,0.3357,0.3935,0.3809,0.3718,0.3827,0.3989,0.3971,0.3971,0.3953
8,0.3971,0.2545,0.3592,0.3249,0.3231,0.3051,0.3718,0.3466,0.3538,0.3502,0.4134,0.4007,0.3899,0.4025
9,0.3989,0.3195,0.3664,0.3249,0.3141,0.3195,0.3845,0.3664,0.361,0.3538,0.4043,0.4025,0.3971,0.3917
10,0.3971,0.3357,0.3899,0.3574,0.3375,0.343,0.3899,0.3827,0.3592,0.3682,0.4097,0.4097,0.417,0.3899
11,0.3989,0.3682,0.3664,0.3574,0.3538,0.3412,0.3935,0.3863,0.3809,0.3791,0.4061,0.3989,0.3989,0.4043
12,0.3935,0.3646,0.3827,0.3285,0.3646,0.3394,0.3827,0.3574,0.3628,0.37,0.3935,0.4079,0.4116,0.3935
13,0.3809,0.3827,0.4007,0.3592,0.361,0.3538,0.4007,0.3881,0.3791,0.3809,0.4097,0.4097,0.4188,0.4097
14,0.3989,0.3628,0.3935,0.3375,0.3646,0.3394,0.3899,0.3664,0.3881,0.3809,0.426,0.4242,0.426,0.426
15,0.4061,0.3682,0.3646,0.3285,0.3357,0.3267,0.3773,0.3502,0.3556,0.3646,0.4061,0.4097,0.4079,0.4025
16,0.4043,0.3664,0.3646,0.3357,0.3502,0.3646,0.3917,0.3538,0.3827,0.3755,0.3953,0.3881,0.3881,0.3863
17,0.3899,0.3267,0.3592,0.3502,0.3285,0.3466,0.3755,0.3664,0.37,0.3755,0.4007,0.3845,0.3971,0.3971
18,0.3917,0.3303,0.4079,0.3628,0.3682,0.3592,0.417,0.3773,0.3827,0.3809,0.417,0.3953,0.4116,0.4134
19,0.3935,0.2635,0.3773,0.3177,0.3195,0.3412,0.3863,0.3628,0.3628,0.3827,0.4061,0.4061,0.4061,0.4043
20,0.4134,0.3105,0.3881,0.3899,0.3556,0.3809,0.4079,0.3989,0.3827,0.3899,0.426,0.4152,0.417,0.4097
21,0.4043,0.3466,0.4061,0.3592,0.3502,0.3628,0.4043,0.3899,0.3917,0.3881,0.4097,0.4025,0.4134,0.4134
22,0.4025,0.4134,0.4152,0.3448,0.343,0.3592,0.4224,0.3736,0.3863,0.3773,0.4061,0.4043,0.4134,0.4134
23,0.3863,0.435,0.426,0.3285,0.3123,0.3394,0.4116,0.3484,0.3484,0.361,0.4116,0.3953,0.3899,0.3863
