hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.7929,0.8583,0.8365,0.752,0.7766,0.7084,0.8093,0.7629,0.7793,0.7384,0.8147,0.7875,0.7793,0.7684
1,0.782,0.8093,0.7711,0.7057,0.7166,0.6594,0.7657,0.7302,0.7439,0.7221,0.7657,0.7657,0.7684,0.7466
2,0.7847,0.7793,0.7684,0.7139,0.7139,0.6376,0.7793,0.7493,0.7548,0.7139,0.7902,0.7847,0.7875,0.7766
3,0.7956,0.7657,0.7711,0.7112,0.7057,0.6594,0.7793,0.7466,0.7439,0.7057,0.8038,0.7847,0.7847,0.7793
4,0.7984,0.782,0.7711,0.7302,0.7439,0.6458,0.7793,0.7548,0.7738,0.7411,0.8093,0.7956,0.7929,0.7929
5,0.7793,0.7847,0.7684,0.7248,0.7302,0.6349,0.7711,0.7439,0.7684,0.7193,0.8011,0.782,0.7793,0.7793
6,0.7793,0.8365,0.7984,0.7493,0.7439,0.6676,0.8011,0.7711,0.7575,0.7384,0.7875,0.782,0.7711,0.7629
7,0.7793,0.7684,0.8256,0.782,0.7875,0.7166,0.7929,0.7793,0.7793,0.7411,0.782,0.7766,0.7711,0.7657
8,0.7902,0.6785,0.8093,0.7493,0.7902,0.7003,0.7847,0.7548,0.782,0.7275,0.8038,0.7684,0.7766,0.7629
9,0.7875,0.7357,0.8447,0.7629,0.7956,0.733,0.8093,0.752,0.7711,0.7439,0.7984,0.7684,0.7684,0.752
10,0.7629,0.7548,0.842,0.7711,0.7929,0.7357,0.7956,0.7684,0.7738,0.7575,0.7902,0.7629,0.7684,0.7684
11,0.7657,0.7411,0.8338,0.7684,0.7602,0.7221,0.8038,0.7629,0.7657,0.7439,0.7956,0.7629,0.7738,0.7548
12,0.782,0.7684,0.8229,0.7629,0.7847,0.7057,0.8038,0.7629,0.7766,0.7766,0.7984,0.782,0.7929,0.7902
13,0.7847,0.7193,0.812,0.7657,0.7711,0.6894,0.8038,0.7657,0.7956,0.7575,0.8174,0.782,0.7875,0.7875
14,0.7875,0.6866,0.8011,0.7575,0.7711,0.6812,0.8038,0.7766,0.7902,0.7493,0.8174,0.8093,0.7929,0.7766
15,0.7984,0.6948,0.8229,0.7602,0.7602,0.6512,0.7929,0.7738,0.7684,0.7411,0.8093,0.7984,0.7847,0.7766
16,0.7738,0.7003,0.8174,0.752,0.7548,0.7003,0.7929,0.7629,0.7684,0.7384,0.812,0.7902,0.7847,0.7793
17,0.7629,0.7084,0.8338,0.7548,0.7738,0.7084,0.7984,0.7629,0.7738,0.7384,0.7929,0.782,0.7629,0.7657
18,0.7493,0.7302,0.8638,0.7711,0.7984,0.7466,0.8038,0.7548,0.7711,0.7548,0.7902,0.7657,0.7711,0.7602
19,0.782,0.7384,0.8856,0.8065,0.842,0.7956,0.8338,0.8065,0.8174,0.7956,0.8038,0.8065,0.8174,0.8093
20,0.7738,0.752,0.9237,0.812,0.8283,0.7738,0.8529,0.7984,0.8065,0.8011,0.8338,0.8174,0.812,0.812
21,0.7929,0.8011,0.9019,0.8202,0.8093,0.8147,0.8529,0.8147,0.8011,0.8202,0.8093,0.8093,0.7984,0.8147
22,0.7929,0.8719,0.8665,0.7793,0.8065,0.752,0.8202,0.7793,0.8065,0.7793,0.8011,0.7902,0.782,0.7875
23,0.7602,0.8883,0.8147,0.7466,0.7384,0.7112,0.7902,0.7466,0.7602,0.7466,0.7738,0.7575,0.7548,0.7657
