hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.2058,0.2581,0.2347,0.1823,0.1877,0.1769,0.2401,0.2004,0.2022,0.1913,0.2076,0.2004,0.204,0.1931
1,0.1931,0.287,0.222,0.1877,0.1661,0.1661,0.1913,0.1913,0.157,0.1715,0.2022,0.2076,0.2094,0.1949
2,0.1823,0.2834,0.204,0.1877,0.1625,0.1949,0.2166,0.1859,0.1877,0.1949,0.2112,0.2004,0.1931,0.2202
3,0.1895,0.2834,0.2274,0.1805,0.1697,0.2004,0.222,0.1823,0.1895,0.2148,0.2058,0.2022,0.1968,0.2202
4,0.1986,0.3069,0.2617,0.2004,0.1931,0.2004,0.2419,0.2148,0.2112,0.1949,0.2148,0.2094,0.1968,0.2076
5,0.2094,0.2834,0.231,0.1751,0.1895,0.1877,0.2094,0.204,0.2076,0.204,0.2076,0.1986,0.2058,0.1949
6,0.213,0.1968,0.1931,0.1823,0.1949,0.1697,0.1895,0.1913,0.2076,0.1968,0.2148,0.2094,0.2004,0.2058
7,0.213,0.1191,0.1751,0.1679,0.148,0.1859,0.1823,0.1895,0.1895,0.1931,0.2058,0.2058,0.1968,0.2076
8,0.2094,0.1264,0.1679,0.1643,0.1552,0.148,0.1895,0.1949,0.1697,0.1859,0.2148,0.2184,0.2058,0.2112
9,0.1859,0.1552,0.2058,0.1625,0.1516,0.1769,0.1949,0.1697,0.1769,0.1859,0.2022,0.204,0.2148,0.2184
10,0.2112,0.157,0.1841,0.1733,0.1697,0.1643,0.1968,0.2004,0.1841,0.2058,0.2094,0.2076,0.2184,0.2058
11,0.2148,0.1516,0.1787,0.1462,0.1769,0.1516,0.1986,0.1823,0.1895,0.1823,0.2166,0.2076,0.2238,0.2004
12,0.1841,0.1949,0.2004,0.1661,0.1877,0.1697,0.1949,0.1769,0.1913,0.1877,0.2238,0.2148,0.2238,0.2022
13,0.2058,0.1715,0.1931,0.1769,0.1986,0.1895,0.1787,0.1751,0.2112,0.1805,0.2076,0.2166,0.2274,0.222
14,0.2112,0.1968,0.1968,0.1823,0.1643,0.1733,0.1968,0.1823,0.1841,0.1913,0.2437,0.2491,0.2527,0.2401
15,0.2094,0.1823,0.1715,0.1588,0.1841,0.1462,0.1733,0.1805,0.1859,0.1697,0.2184,0.2202,0.2094,0.2094
16,0.2112,0.1823,0.1986,0.1661,0.1715,0.1805,0.204,0.1715,0.1823,0.2004,0.213,0.2166,0.2076,0.2166
17,0.1931,0.1679,0.1986,0.1372,0.1949,0.1733,0.2004,0.1913,0.1859,0.1986,0.2058,0.2202,0.213,0.213
18,0.1859,0.1787,0.2292,0.1823,0.1949,0.2058,0.2166,0.1823,0.2004,0.204,0.231,0.2184,0.204,0.2202
19,0.1931,0.13,0.1805,0.139,0.148,0.1841,0.1986,0.1877,0.1913,0.1913,0.2256,0.2184,0.2148,0.2076
20,0.213,0.148,0.2022,0.1859,0.1859,0.1805,0.222,0.204,0.231,0.2004,0.2329,0.2329,0.2383,0.2329
21,0.2076,0.1552,0.1733,0.1895,0.1931,0.1715,0.1968,0.1895,0.213,0.1895,0.2238,0.231,0.2347,0.2292
22,0.2112,0.2202,0.2058,0.1661,0.1661,0.1516,0.2329,0.1968,0.2058,0.2004,0.2274,0.2292,0.2365,0.2329
23,0.1895,0.2238,0.2292,0.1606,0.1552,0.1733,0.2184,0.1841,0.1931,0.1859,0.213,0.2202,0.2094,0.2022
