hour,CP,QRA,Norm,Jsu,Stu,QR,CQN,CQJ,CQS,CQR,OCQN,OCQJ,OCQS,OCQR
0,0.8065,0.8392,0.8665,0.7629,0.8011,0.7466,0.8283,0.7629,0.7902,0.7711,0.8283,0.782,0.7847,0.7766
1,0.8038,0.7793,0.8011,0.7112,0.7466,0.7193,0.7766,0.7357,0.7738,0.7493,0.7929,0.7602,0.7847,0.7602
2,0.7984,0.7793,0.7738,0.7139,0.7112,0.6757,0.7766,0.7411,0.7439,0.7248,0.7984,0.7657,0.7711,0.7793
3,0.782,0.752,0.7684,0.7139,0.7166,0.6975,0.7766,0.7221,0.7493,0.7439,0.7929,0.7629,0.7738,0.7602
4,0.7902,0.7575,0.752,0.703,0.733,0.6757,0.7575,0.7084,0.7384,0.7139,0.7929,0.7575,0.7711,0.7602
5,0.7657,0.782,0.7575,0.7166,0.7112,0.6649,0.7602,0.7275,0.7275,0.7193,0.782,0.7575,0.7629,0.7493
6,0.7793,0.8311,0.7575,0.7493,0.733,0.7193,0.752,0.7439,0.7629,0.7302,0.7766,0.752,0.7711,0.7657
7,0.782,0.7684,0.8065,0.752,0.7793,0.7411,0.7984,0.7629,0.7875,0.7684,0.7793,0.7684,0.782,0.7711
8,0.8065,0.6567,0.8474,0.7793,0.7657,0.7548,0.8174,0.7738,0.7847,0.7711,0.8038,0.7847,0.8011,0.7847
9,0.7929,0.7112,0.8801,0.7711,0.7847,0.7493,0.8338,0.7657,0.7875,0.7738,0.812,0.7684,0.7766,0.7875
10,0.7738,0.7275,0.8338,0.7875,0.7875,0.7493,0.8011,0.7847,0.7847,0.7875,0.782,0.7629,0.7684,0.7766
11,0.7902,0.7411,0.8338,0.752,0.7766,0.7384,0.782,0.7493,0.7684,0.7629,0.7902,0.7684,0.7711,0.7602
12,0.782,0.7711,0.7984,0.7956,0.7902,0.7439,0.7929,0.7738,0.7902,0.7684,0.8038,0.782,0.7902,0.782
13,0.7875,0.7548,0.7929,0.782,0.7766,0.7548,0.7902,0.7711,0.7847,0.782,0.7984,0.7766,0.7902,0.7766
14,0.7956,0.7275,0.8311,0.7711,0.7847,0.7466,0.8093,0.7684,0.7956,0.7711,0.8229,0.7956,0.8038,0.7984
15,0.7956,0.7003,0.8365,0.7575,0.7738,0.7384,0.8065,0.7711,0.7929,0.7657,0.8311,0.7984,0.7956,0.7875
16,0.7929,0.7411,0.8392,0.7575,0.7847,0.7466,0.812,0.7629,0.7929,0.7766,0.8338,0.7956,0.7929,0.7902
17,0.7684,0.7793,0.861,0.7793,0.7984,0.7847,0.8174,0.7738,0.7956,0.7793,0.8202,0.7711,0.7711,0.7793
18,0.7684,0.7629,0.8883,0.7984,0.8256,0.8065,0.8311,0.7684,0.8202,0.7875,0.8147,0.7766,0.7929,0.7902
19,0.8147,0.7575,0.9074,0.8583,0.842,0.8392,0.8774,0.8229,0.8338,0.8229,0.8311,0.8038,0.8338,0.8202
20,0.7956,0.7575,0.921,0.8501,0.8447,0.8174,0.8665,0.8256,0.8365,0.8093,0.8501,0.8229,0.8447,0.8147
21,0.7902,0.8093,0.9074,0.8147,0.8229,0.8283,0.8447,0.7956,0.8256,0.8174,0.8202,0.7929,0.8093,0.8202
22,0.7929,0.8692,0.8692,0.8093,0.812,0.7956,0.842,0.7929,0.8038,0.7956,0.8093,0.782,0.8011,0.782
23,0.752,0.8883,0.8365,0.7466,0.7738,0.7493,0.7929,0.7357,0.7629,0.7575,0.7766,0.7439,0.7575,0.7684
